meanfreq,sd,median,Q25,Q75,IQR,sp.ent,sfm,centroid,kurt,skew,label
5.060143585211809e-20,2.8891384663800195e-19,1.791781874388476e-20,4.205529224977685e-21,2.7346285620085095e-20,2.314075639510741e-20,1.3981692564946687e-15,19762286.064843696,499.82329959218276,309.9495580894629,16.550291228645772,female
5.512485654823393e-20,2.62444273146015e-19,1.8697149935715405e-20,5.422255327659897e-21,3.153172364743673e-20,2.610946831977683e-20,1.523156003381162e-15,18140637.776532512,499.8030916361493,194.9869478032463,13.11906604236687,female
3.053802659276223e-20,2.052646577978591e-19,6.684406537410062e-21,3.505871986217787e-21,1.550055541947207e-20,1.1994683433254283e-20,8.437968145573329e-16,32746059.327062543,499.80294359588146,381.99076983531916,18.73951446035596,female
2.4742131148561418e-20,1.9830744286816525e-19,5.48248426106739e-21,3.234557832743327e-21,1.0985160309944417e-20,7.75060247720109e-21,6.836503082810396e-16,40416891.28303963,499.83908937605634,431.47284288222374,20.268503843879728,female
6.342277252291446e-20,2.860779572030044e-19,1.8717551076383483e-20,1.3181424488005809e-20,3.3721852115191094e-20,2.0540427627185285e-20,1.752435880948494e-15,15767208.269891296,499.8691323853242,181.2009735651285,12.726846198615599,female
2.1649526829192636e-20,3.0399798559963003e-19,2.8670345092079904e-21,2.176008419530917e-21,5.23919527688853e-21,3.063186857357613e-21,5.981984400841192e-16,46190386.95575843,499.9446041734571,488.501103487347,22.078966531423234,female
2.617117959783627e-20,3.774584229440614e-19,3.2906914358285635e-21,2.607157848514636e-21,6.020075572723132e-21,3.412917724208496e-21,7.231362729373807e-16,38209971.48534281,499.96264936568696,489.4004212874455,22.108393006217984,female
5.695495979777774e-20,3.338300815179698e-19,1.8124771118159033e-20,5.938425011684952e-21,2.968061019974108e-20,2.374218518805613e-20,1.5737235821431943e-15,17557734.401103437,499.8464716841352,326.9734246624444,17.065609151307857,female
8.046136564887786e-20,3.5761039376979967e-19,2.3126586414090726e-20,1.772851375151471e-20,4.258461442132643e-20,2.4856100669811716e-20,2.223229558901667e-15,12428325.972307786,499.89572838366774,171.43787289372213,12.440954632496698,female
2.312371110273501e-20,3.823406333979929e-19,2.116004152759453e-21,1.6473881466003192e-21,3.895697842337846e-21,2.2483096957375266e-21,6.389316030398625e-16,43245654.58722397,499.97077838087904,492.7238109854291,22.217729547691686,female
4.550332994510903e-20,2.2293472337660877e-19,1.0252085186438881e-20,3.0406363109129234e-21,2.74650551338053e-20,2.4424418822892377e-20,1.2573034187880043e-15,21976414.620855544,499.76144057945913,200.06778945413242,13.261607986267306,female
2.791590326718809e-20,3.36575576081352e-19,4.6180830986361864e-21,3.715696357225073e-21,8.409897318735203e-21,4.69420096151013e-21,7.713447985838979e-16,35821876.09495103,499.95895868420865,481.3379321086258,21.84630046204717,female
5.0277867054991595e-20,2.4710799751976143e-19,1.4071884227733584e-20,1.1026268838744965e-20,2.5911998975695916e-20,1.488573013695095e-20,1.3892287426702099e-15,19889468.445112947,499.8903529435728,246.77265870682862,14.669095286716324,female
